Name,Score
"Red Bay, Alabama",Stub
"Red Level, Alabama",Stub
"Reece City, Alabama",Stub
"Reform, Alabama",Start
"Rehobeth, Alabama",Stub
"Repton, Alabama",Stub
"Ridgeville, Alabama",Start
"River Falls, Alabama",Start
"Riverside, Alabama",Stub
"Riverview, Alabama",Start
"Roanoke, Alabama",Stub
"Robertsdale, Alabama",Start
"Rockford, Alabama",Start
"Rogersville, Alabama",Stub
"Rosa, Alabama",B
"Russellville, Alabama",Start
"Rutledge, Alabama",Start
"St. Florian, Alabama",Stub
"Samson, Alabama",Start
"Sand Rock, Alabama",Stub
"Sanford, Alabama",Start
"Saraland, Alabama",Start
"Sardis City, Alabama",Start
"Satsuma, Alabama",Stub
"Scottsboro, Alabama",Stub
"Section, Alabama",Stub
"Selma, Alabama",Stub
"Sheffield, Alabama",Stub
"Shiloh, DeKalb County, Alabama",Stub
"Shorter, Alabama",Stub
"Silas, Alabama",Stub
"Silverhill, Alabama",Start
"Sipsey, Alabama",Start
"Skyline, Alabama",Start
"Slocomb, Alabama",Start
"Smiths Station, Alabama",Stub
"Somerville, Alabama",Stub
"South Vinemont, Alabama",Start
"Southside, Alabama",B
"Spanish Fort, Alabama",Start
"Springville, Alabama",Start
"Steele, Alabama",Start
"Stevenson, Alabama",Start
"Sulligent, Alabama",Stub
"Sumiton, Alabama",Stub
"Summerdale, Alabama",Stub
"Susan Moore, Alabama",Start
"Sweet Water, Alabama",Stub
"Sylacauga, Alabama",Stub
"Sylvan Springs, Alabama",Stub
"Sylvania, Alabama",Stub
"Talladega Springs, Alabama",Stub
"Talladega, Alabama",Stub
"Taylor, Alabama",Stub
"Thomasville, Alabama",Start
"Thorsby, Alabama",Stub
"Town Creek, Alabama",Stub
"Toxey, Alabama",Stub
"Trafford, Alabama",Stub
"Triana, Alabama",Start
"Trinity, Alabama",Stub
"Troy, Alabama",Start
"Trussville, Alabama",Start
"Tuscaloosa, Alabama",Start
"Tuscumbia, Alabama",Stub
"Tuskegee, Alabama",Stub
"Twin, Alabama",Stub
"Union Grove, Alabama",Stub
"Union Springs, Alabama",Stub
"Union, Alabama",Stub
"Uniontown, Alabama",Stub
"Valley, Alabama",Start
"Valley Grande, Alabama",Stub
"Valley Head, Alabama",Stub
"Vance, Alabama",Start
"Vernon, Alabama",Start
"Vestavia Hills, Alabama",Stub
"Vina, Alabama",Stub
"Vincent, Alabama",Stub
"Vredenburgh, Alabama",Stub
"Wadley, Alabama",Stub
"Waldo, Alabama",Start
"Walnut Grove, Alabama",Stub
"Warrior, Alabama",Start
"Waterloo, Alabama",Stub
"Waverly, Alabama",Start
"Weaver, Alabama",Stub
"Webb, Alabama",Stub
"Wedowee, Alabama",Stub
"West Blocton, Alabama",Stub
"West Jefferson, Alabama",Stub
"West Point, Alabama",Stub
"Westover, Alabama",Stub
"Wetumpka, Alabama",Stub
"White Hall, Alabama",Start
"Wilsonville, Alabama",Start
"Winfield, Alabama",Start
"Woodland, Alabama",Start
"Woodstock, Alabama",Stub
"Woodville, Alabama",Start
"Yellow Bluff, Alabama",B
"York, Alabama",Stub
"Adak, Alaska",Stub
"Akhiok, Alaska",Start
"Akiak, Alaska",Start
"Akutan, Alaska",Stub
"Alakanuk, Alaska",B
"Aleknagik, Alaska",Stub
"Allakaket, Alaska",Stub
"Ambler, Alaska",Stub
"Anaktuvuk Pass, Alaska",Stub
"Anchorage, Alaska",Start
"Anderson, Alaska",Stub
"Angoon, Alaska",Start
"Aniak, Alaska",Stub
"Anvik, Alaska",Stub
"Atka, Alaska",Stub
"Atqasuk, Alaska",Start
"Bethel, Alaska",Stub
"Bettles, Alaska",Stub
"Brevig Mission, Alaska",Start
"Buckland, Alaska",Start
"Chefornak, Alaska",Start
"Chevak, Alaska",Stub
"Chignik, Alaska",Stub
"Chuathbaluk, Alaska",Start
"Clark's Point, Alaska",Start
"Coffman Cove, Alaska",B
"Cold Bay, Alaska",Stub
"Cordova, Alaska",Stub
"Craig, Alaska",Stub
"Deering, Alaska",Stub
"Delta Junction, Alaska",Start
"Dillingham, Alaska",Stub
"Diomede, Alaska",Start
"Eagle, Alaska",Stub
"Edna Bay, Alaska",Stub
"Eek, Alaska",B
"Egegik, Alaska",Stub
