Name,Score
"Humnoke, Arkansas",Stub
"Humphrey, Arkansas",Stub
"Hunter, Arkansas",Stub
"Huntington, Arkansas",Start
"Huntsville, Arkansas",B
"Huttig, Arkansas",Stub
"Imboden, Arkansas",Stub
"Jacksonport, Arkansas",Stub
"Jacksonville, Arkansas",Start
"Jennette, Arkansas",Start
"Jericho, Arkansas",Stub
"Johnson, Arkansas",Start
"Joiner, Arkansas",Stub
"Jonesboro, Arkansas",Start
"Judsonia, Arkansas",Stub
"Junction City, Arkansas",Stub
"Keiser, Arkansas",Stub
"Kensett, Arkansas",Stub
"Keo, Arkansas",Stub
"Kibler, Arkansas",Stub
"Kingsland, Arkansas",Stub
"Knobel, Arkansas",Stub
"Knoxville, Arkansas",B
"Lafe, Arkansas",Stub
"LaGrange, Arkansas",Stub
"Lake City, Arkansas",Stub
"Lake View, Arkansas",Stub
"Lake Village, Arkansas",Start
"Lakeview, Arkansas",Stub
"Lamar, Arkansas",Start
"Lavaca, Arkansas",Stub
"Leachville, Arkansas",B
"Lead Hill, Arkansas",B
"Leola, Arkansas",B
"Lepanto, Arkansas",Start
"Leslie, Arkansas",B
"Letona, Arkansas",Stub
"Lewisville, Arkansas",Start
"Lexa, Arkansas",Stub
"Lincoln, Arkansas",Start
"Little Flock, Arkansas",Start
"Lockesburg, Arkansas",Start
"London, Arkansas",Stub
"Lonoke, Arkansas",B
"Lonsdale, Arkansas",B
"Louann, Arkansas",Stub
"Luxora, Arkansas",Start
"Lynn, Arkansas",Start
"Madison, Arkansas",Stub
"Magazine, Arkansas",Stub
"Magness, Arkansas",Stub
"Magnolia, Arkansas",Start
"Malvern, Arkansas",Stub
"Mammoth Spring, Arkansas",Start
"Manila, Arkansas",Stub
"Mansfield, Arkansas",Start
"Marianna, Arkansas",Start
"Marie, Arkansas",Start
"Marion, Arkansas",Start
"Marked Tree, Arkansas",Start
"Marmaduke, Arkansas",Stub
"Marshall, Arkansas",Stub
